source,target,total
Luke Skywalker,Gardulla,1
Anakin Skywalker,Gardulla,1
Padme Amidala,Watto,8
Padme Amidala,Luke Skywalker,4
Padme Amidala,Anakin Skywalker,99
Qui-Gon Jinn,Watto,11
Luke Skywalker,Qui-Gon Jinn,6
Anakin Skywalker,Qui-Gon Jinn,34
Jar Jar Binks,Watto,7
R2-D2,Watto,6
Luke Skywalker,Watto,2
Anakin Skywalker,Watto,12
Jar Jar Binks,Luke Skywalker,5
Jar Jar Binks,Anakin Skywalker,28
R2-D2,Luke Skywalker,40
R2-D2,Anakin Skywalker,60
Luke Skywalker,Anakin Skywalker,19
Jar Jar Binks,Sebulba,5
Jar Jar Binks,Jabba the Hutt,3
R2-D2,Sebulba,5
R2-D2,Jabba the Hutt,4
Sebulba,Anakin Skywalker,9
Padme Amidala,Sebulba,5
Sebulba,Qui-Gon Jinn,6
Sebulba,Jabba the Hutt,3
Anakin Skywalker,Jabba the Hutt,4
Padme Amidala,Jabba the Hutt,3
Qui-Gon Jinn,Jabba the Hutt,3
Jira,Padme Amidala,1
Jira,Anakin Skywalker,2
Jira,Qui-Gon Jinn,2
Jar Jar Binks,Shmi,11
R2-D2,Shmi,8
Luke Skywalker,Shmi,4
Anakin Skywalker,Shmi,15
Padme Amidala,Shmi,13
Qui-Gon Jinn,Shmi,14
Padme Amidala,C-3PO,19
Anakin Skywalker,C-3PO,17
R2-D2,C-3PO,59
Queen Jamillia,Rabe,4
Watto,Shmi,6
Sebulba,Watto,4
Obi-Wan Kenobi,Anakin Skywalker,97
Obi-Wan Kenobi,Shmi,2
Padme Amidala,Wald,1
Qui-Gon Jinn,Wald,2
Seek,Wald,1
Jar Jar Binks,Wald,1
R2-D2,Wald,1
Anakin Skywalker,Wald,2
Kitster,Wald,2
Amee,Wald,1
Seek,Padme Amidala,1
Padme Amidala,Kitster,7
Padme Amidala,Amee,1
Seek,Qui-Gon Jinn,1
Qui-Gon Jinn,Kitster,8
Qui-Gon Jinn,Amee,1
Seek,Jar Jar Binks,1
Seek,R2-D2,1
Seek,Anakin Skywalker,1
Seek,Kitster,1
Seek,Amee,1
Jar Jar Binks,Kitster,7
Jar Jar Binks,Amee,1
R2-D2,Kitster,8
R2-D2,Amee,1
Anakin Skywalker,Kitster,8
Anakin Skywalker,Amee,1
Kitster,Amee,1
Yoda,Luke Skywalker,11
Yoda,Anakin Skywalker,18
Yoda,Shmi,1
Obi-Wan Kenobi,Luke Skywalker,41
Battle Droid,Darth Maul,4
Watto,Kitster,4
Sebulba,Kitster,4
Sebulba,Shmi,4
Sebulba,C-3PO,1
Kitster,Shmi,6
Kitster,C-3PO,2
Qui-Gon Jinn,C-3PO,1
Watto,C-3PO,1
C-3PO,Shmi,2
Jar Jar Binks,C-3PO,2
Obi-Wan Kenobi,Darth Maul,6
Fode/Beed,Sebulba,5
Fode/Beed,Gasgano,2
Fode/Beed,Anakin Skywalker,6
Fode/Beed,Boles Roor,1
Gasgano,Sebulba,2
Sebulba,Boles Roor,1
Gasgano,Anakin Skywalker,2
Gasgano,Boles Roor,1
Anakin Skywalker,Boles Roor,1
Fode/Beed,Jabba the Hutt,1
Ody Mandrell,Sebulba,3
Ody Mandrell,Padme Amidala,2
Ody Mandrell,Qui-Gon Jinn,2
Jabba the Hutt,Shmi,3
Ody Mandrell,Jabba the Hutt,1
Kitster,Jabba the Hutt,2
Ody Mandrell,Shmi,2
Jar Jar Binks,Ody Mandrell,2
R2-D2,Ody Mandrell,2
Ody Mandrell,Anakin Skywalker,3
Ody Mandrell,Kitster,2
Jar Jar Binks,Fode/Beed,4
Fode/Beed,Luke Skywalker,3
Fode/Beed,Padme Amidala,3
Fode/Beed,Qui-Gon Jinn,3
Fode/Beed,Shmi,3
Mawhonic,Fode/Beed,1
Mawhonic,Sebulba,1
Mawhonic,Gasgano,1
Mawhonic,Tusken Raider,1
Mawhonic,Anakin Skywalker,1
Fode/Beed,Tusken Raider,1
Sebulba,Tusken Raider,1
Gasgano,Tusken Raider,1
Anakin Skywalker,Tusken Raider,2
Padme Amidala,Fanta,2
Qui-Gon Jinn,Fanta,2
Jabba the Hutt,Fanta,1
Fanta,Shmi,2
Jar Jar Binks,Fanta,2
R2-D2,Fanta,2
Kitster,Fanta,2
Ody Mandrell,Xelbree,1
Anakin Skywalker,Xelbree,1
Sebulba,Xelbree,1
Sebulba,Fanta,1
Sebulba,Ben Quadrinaros,1
Watto,Fanta,1
Fode/Beed,Fanta,1
Anakin Skywalker,Fanta,1
Ben Quadrinaros,Fanta,1
Padme Amidala,Ben Quadrinaros,1
Qui-Gon Jinn,Ben Quadrinaros,1
Fode/Beed,Watto,2
Watto,Ben Quadrinaros,1
Ben Quadrinaros,Shmi,1
Jar Jar Binks,Ben Quadrinaros,1
R2-D2,Fode/Beed,2
R2-D2,Ben Quadrinaros,1
Fode/Beed,Kitster,2
Fode/Beed,Ben Quadrinaros,1
Anakin Skywalker,Ben Quadrinaros,1
Kitster,Ben Quadrinaros,1
Battle Droid,Sebulba,1
Battle Droid,Watto,2
Battle Droid,Shmi,2
R2-D2,Battle Droid,19
Battle Droid,Fode/Beed,1
Battle Droid,Luke Skywalker,2
Battle Droid,Terter,1
Battle Droid,Ody Mandrell,1
Battle Droid,Anakin Skywalker,35
Battle Droid,Kitster,1
Sebulba,Luke Skywalker,1
Sebulba,Terter,1
Padme Amidala,Terter,1
Qui-Gon Jinn,Terter,1
Watto,Terter,1
Ody Mandrell,Watto,1
Terter,Shmi,1
Jar Jar Binks,Terter,1
R2-D2,Terter,1
Fode/Beed,Terter,1
Fode/Beed,Ody Mandrell,1
Luke Skywalker,Terter,1
Ody Mandrell,Luke Skywalker,1
Luke Skywalker,Kitster,1
Ody Mandrell,Terter,1
Anakin Skywalker,Terter,1
Kitster,Terter,1
Anakin Skywalker,Darth Maul,4
Qui-Gon Jinn,Sith Probe Droid,3
Watto,Sith Probe Droid,1
R2-D2,Sith Probe Droid,2
Obi-Wan Kenobi,Sith Probe Droid,3
Padme Amidala,Sith Probe Droid,2
Greedo,Wald,1
Greedo,Anakin Skywalker,1
Greedo,Qui-Gon Jinn,1
Greedo,Kitster,1
Darth Maul,Sith Probe Droid,1
Jira,Darth Maul,1
Qui-Gon Jinn,Darth Maul,8
Sith Probe Droid,Palpatine,1
Jira,Sith Probe Droid,1
Anakin Skywalker,Sith Probe Droid,1
Jira,Palpatine,1
Anakin Skywalker,Palpatine,52
Republic Captain,Anakin Skywalker,7
Anakin Skywalker,Captain Panaka,12
Ric Olie,Anakin Skywalker,6
Anakin Skywalker,Rebel Pilot,9
Obi-Wan Kenobi,Rebel Pilot,8
Ric Olie,Padme Amidala,1
Padme Amidala,Rebel Pilot,5
Obi-Wan Kenobi,Watto,1
Ric Olie,Watto,1
Sio Bibble,R2-D2,2
Sio Bibble,Anakin Skywalker,4
Queen Jamillia,Chancellor Valorum,1
Queen Jamillia,Anakin Skywalker,6
Chancellor Valorum,Palpatine,3
Rabe,Palpatine,5
Chancellor Valorum,Captain Panaka,3
Chancellor Valorum,Eirtae,2
Anakin Skywalker,Eirtae,9
Chancellor Valorum,Padme Amidala,4
Chancellor Valorum,Jar Jar Binks,2
Chancellor Valorum,Rabe,2
Chancellor Valorum,Anakin Skywalker,2
Rabe,Anakin Skywalker,6
Obi-Wan Kenobi,Mace Windu,17
Yoda,Mace Windu,19
Qui-Gon Jinn,Mace Windu,3
Mas Amedda,Battle Droid,1
Battle Droid,Bail Organa,2
Lott Dod,Battle Droid,1
Aks Moe,Battle Droid,1
Mas Amedda,Palpatine,11
Bail Organa,Palpatine,11
Lott Dod,Palpatine,1
Aks Moe,Palpatine,1
Mas Amedda,Captain Panaka,1
Bail Organa,Captain Panaka,2
Lott Dod,Captain Panaka,1
Aks Moe,Captain Panaka,1
Mas Amedda,Bail Organa,5
Mas Amedda,Padme Amidala,6
Mas Amedda,Lott Dod,1
Chancellor Valorum,Mas Amedda,1
Mas Amedda,Rabe,1
Mas Amedda,Aks Moe,1
Bail Organa,Padme Amidala,12
Lott Dod,Bail Organa,1
Chancellor Valorum,Bail Organa,2
Bail Organa,Rabe,1
Aks Moe,Bail Organa,1
Lott Dod,Padme Amidala,1
Aks Moe,Padme Amidala,1
Chancellor Valorum,Lott Dod,1
Lott Dod,Rabe,1
Lott Dod,Aks Moe,1
Chancellor Valorum,Aks Moe,1
Aks Moe,Rabe,1
Anakin Skywalker,Mace Windu,16
Bail Organa,Eirtae,1
Jar Jar Binks,Bail Organa,6
Chancellor Valorum,Yoda,1
Chancellor Valorum,Mace Windu,1
Padme Amidala,Yoda,12
Padme Amidala,Mace Windu,12
R2-D2,Palpatine,11
R2-D2,Republic Captain,4
Republic Captain,Captain Tarpals,1
Gungan Warrior,Captain Panaka,2
Boss Nass,Captain Panaka,3
Gungan Warrior,Eirtae,1
Boss Nass,Eirtae,2
Obi-Wan Kenobi,Gungan Warrior,2
Padme Amidala,Gungan Warrior,3
Padme Amidala,Boss Nass,4
Qui-Gon Jinn,Gungan Warrior,1
R2-D2,Gungan Warrior,2
R2-D2,Boss Nass,3
Rabe,Gungan Warrior,1
Rabe,Boss Nass,1
Gungan Warrior,Boss Nass,2
Anakin Skywalker,Gungan Warrior,2
Anakin Skywalker,Boss Nass,4
Queen Jamillia,Rebel Pilot,1
Queen Jamillia,R2-D2,1
Queen Jamillia,Boss Nass,1
Rebel Pilot,Eirtae,2
R2-D2,Rebel Pilot,7
Jar Jar Binks,Rebel Pilot,2
Rebel Pilot,Boss Nass,1
Battle Droid,Gungan Warrior,5
Battle Droid,Rebel Pilot,4
Battle Droid,Destroyer Droids,7
Republic Captain,Palpatine,3
Republic Captain,Darth Maul,1
Republic Captain,Destroyer Droids,1
Destroyer Droids,Palpatine,2
Darth Maul,Captain Panaka,1
Destroyer Droids,Captain Panaka,3
Obi-Wan Kenobi,Destroyer Droids,2
Padme Amidala,Destroyer Droids,3
Qui-Gon Jinn,Destroyer Droids,1
R2-D2,Darth Maul,1
R2-D2,Destroyer Droids,2
Destroyer Droids,Darth Maul,1
Anakin Skywalker,Destroyer Droids,3
Bravo Two,Battle Droid,2
Bravo Two,Ric Olie,4
Jar Jar Binks,Destroyer Droids,3
Destroyer Droids,Gungan Warrior,3
Bravo Two,R2-D2,2
R2-D2,Ric Olie,2
Bravo Two,Anakin Skywalker,2
Darth Vader,Obi-Wan Kenobi,12
Darth Vader,Qui-Gon Jinn,1
Dofine,Tey How,1
Bravo Two,Bravo Three,2
Ric Olie,Bravo Three,2
R2-D2,Bravo Three,1
Bravo Three,Anakin Skywalker,1
Nute Gunray,Yoda,1
Yoda,Captain Panaka,2
Yoda,Rune Haako,1
Yoda,Palpatine,14
Nute Gunray,Rune Haako,4
Rune Haako,Captain Panaka,1
Rune Haako,Palpatine,2
Obi-Wan Kenobi,Rune Haako,2
Padme Amidala,Rune Haako,1
Yoda,Boss Nass,1
Sio Bibble,Yoda,1
Boss Nass,Palpatine,2
Mace Windu,Palpatine,7
Mace Windu,Captain Panaka,1
Sio Bibble,Boss Nass,2
Mace Windu,Boss Nass,1
Sio Bibble,Mace Windu,1
Gungan Warrior,Palpatine,1
Sio Bibble,Gungan Warrior,1
Padme Amidala,Count Dooku,15
Captain Typho,Jar Jar Binks,5
Captain Typho,R2-D2,4
Captain Typho,Corde,1
Captain Typho,Dorme,6
Captain Typho,Padme Amidala,11
Captain Typho,Rebel Pilot,1
Jar Jar Binks,Corde,1
Jar Jar Binks,Dorme,5
R2-D2,Corde,1
R2-D2,Dorme,2
Dorme,Corde,1
Padme Amidala,Corde,1
Corde,Rebel Pilot,1
Padme Amidala,Dorme,7
Dorme,Rebel Pilot,1
Captain Typho,Ask Aak,1
Captain Typho,Palpatine,3
Captain Typho,Mas Amedda,3
Captain Typho,Darsana,1
Captain Typho,Orn Free Taa,2
Ask Aak,Palpatine,2
Mas Amedda,Ask Aak,2
Padme Amidala,Ask Aak,2
Ask Aak,Darsana,1
Jar Jar Binks,Ask Aak,2
Orn Free Taa,Ask Aak,1
Dorme,Ask Aak,1
Darsana,Palpatine,1
Orn Free Taa,Palpatine,3
Dorme,Palpatine,2
Mas Amedda,Darsana,1
Mas Amedda,Jar Jar Binks,5
Orn Free Taa,Mas Amedda,3
Mas Amedda,Dorme,2
Padme Amidala,Darsana,1
Orn Free Taa,Padme Amidala,3
Jar Jar Binks,Darsana,1
Orn Free Taa,Darsana,1
Dorme,Darsana,1
Orn Free Taa,Jar Jar Binks,3
Orn Free Taa,Dorme,2
Captain Typho,Yoda,1
Captain Typho,Obi-Wan Kenobi,6
Captain Typho,Bail Organa,2
Captain Typho,Dar Wac,1
Captain Typho,Count Dooku,1
Captain Typho,Plo Koon,1
Captain Typho,Mace Windu,2
Bail Organa,Yoda,14
Mas Amedda,Yoda,6
Dar Wac,Yoda,1
Jar Jar Binks,Yoda,3
Yoda,Count Dooku,6
Yoda,Plo Koon,4
Orn Free Taa,Yoda,1
Dorme,Yoda,2
Dar Wac,Palpatine,1
Count Dooku,Palpatine,13
Plo Koon,Palpatine,2
Obi-Wan Kenobi,Bail Organa,13
Obi-Wan Kenobi,Mas Amedda,3
Dar Wac,Obi-Wan Kenobi,1
Obi-Wan Kenobi,Plo Koon,4
Orn Free Taa,Obi-Wan Kenobi,1
Obi-Wan Kenobi,Dorme,4
Dar Wac,Bail Organa,1
Bail Organa,Count Dooku,4
Bail Organa,Plo Koon,1
Orn Free Taa,Bail Organa,1
Bail Organa,Dorme,1
Bail Organa,Mace Windu,3
Dar Wac,Padme Amidala,1
Padme Amidala,Plo Koon,2
Dar Wac,Mas Amedda,1
Mas Amedda,Count Dooku,2
Mas Amedda,Plo Koon,1
Mas Amedda,Mace Windu,2
Dar Wac,Jar Jar Binks,1
Dar Wac,Count Dooku,1
Dar Wac,Plo Koon,1
Dar Wac,Orn Free Taa,1
Dar Wac,Dorme,1
Dar Wac,Mace Windu,1
Jar Jar Binks,Plo Koon,1
Jar Jar Binks,Mace Windu,4
Count Dooku,Plo Koon,1
Orn Free Taa,Count Dooku,1
Dorme,Count Dooku,1
Count Dooku,Mace Windu,7
Orn Free Taa,Plo Koon,1
Dorme,Plo Koon,1
Plo Koon,Mace Windu,4
Orn Free Taa,Mace Windu,1
Dorme,Mace Windu,2
Captain Typho,Anakin Skywalker,6
Dorme,Anakin Skywalker,4
Obi-Wan Kenobi,Zam Wessel,4
Anakin Skywalker,Zam Wessel,4
Yoda,Zam Wessel,1
Battle Droid,Zam Wessel,1
Obi-Wan Kenobi,Elan Sleazebaggano,1
Anakin Skywalker,Elan Sleazebaggano,1
Elan Sleazebaggano,Zam Wessel,1
Dexter Jettster,Obi-Wan Kenobi,1
Queen Jamillia,Count Dooku,1
Queen Jamillia,Nute Gunray,1
Nute Gunray,Count Dooku,4
Count Dooku,Anakin Skywalker,19
Sio Bibble,Count Dooku,1
Nute Gunray,Anakin Skywalker,8
Obi-Wan Kenobi,Jocasta Nu,1
Count Dooku,Jocasta Nu,1
R2-D2,Ryoo,1
R2-D2,Pooja,1
Ryoo,Pooja,1
Anakin Skywalker,Ryoo,1
Padme Amidala,Ryoo,1
Anakin Skywalker,Pooja,1
Padme Amidala,Pooja,1
Jobal,Anakin Skywalker,2
Sola,Anakin Skywalker,2
Anakin Skywalker,Ruwee,3
Jobal,Sola,2
Jobal,Padme Amidala,2
Jobal,Ruwee,1
Sola,Padme Amidala,2
Sola,Ruwee,1
Padme Amidala,Ruwee,1
Battle Droid,Yoda,7
Battle Droid,Jedi Child May,1
Battle Droid,Jedi Child Jack,1
Yoda,Jedi Child May,1
Yoda,Jedi Child Jack,1
Obi-Wan Kenobi,Jedi Child May,1
Jedi Child May,Jedi Child Jack,1
Obi-Wan Kenobi,Jedi Child Jack,1
Obi-Wan Kenobi,Taun We,9
Obi-Wan Kenobi,Sifo-Dyas,1
Obi-Wan Kenobi,Lama Su,7
Taun We,Sifo-Dyas,1
Taun We,Lama Su,5
Sifo-Dyas,Lama Su,1
Stormtrooper,Obi-Wan Kenobi,2
Stormtrooper,Taun We,1
Stormtrooper,Lama Su,1
Obi-Wan Kenobi,Clone Troopers,15
Taun We,Clone Troopers,2
Jango Fett,Clone Troopers,1
Clone Troopers,Lama Su,3
Obi-Wan Kenobi,Jango Fett,12
Taun We,Jango Fett,4
Jango Fett,Lama Su,1
Clone Troopers,Boba Fett,2
Obi-Wan Kenobi,Boba Fett,12
Taun We,Boba Fett,3
Boba Fett,Lama Su,1
Jango Fett,Boba Fett,10
Taun We,Yoda,1
Jango Fett,Yoda,2
Yoda,Boba Fett,3
Taun We,Count Dooku,1
Jango Fett,Count Dooku,5
Count Dooku,Boba Fett,5
Anakin Skywalker,Cliegg Lars,3
Owen Lars,Cliegg Lars,3
Padme Amidala,Cliegg Lars,3
Cliegg Lars,C-3PO,2
Cliegg Lars,Beru Lars,4
Cliegg Lars,Shmi,1
Owen Lars,Anakin Skywalker,5
Anakin Skywalker,Beru Lars,3
Owen Lars,Padme Amidala,5
Owen Lars,C-3PO,8
Owen Lars,Beru Lars,9
Owen Lars,Shmi,1
Padme Amidala,Beru Lars,4
C-3PO,Beru Lars,5
Beru Lars,Shmi,1
Cliegg Lars,Tusken Raider,1
Tusken Raider,Beru Lars,1
Anakin Skywalker,Jawa,1
Ask Aak,Yoda,1
Darth Vader,Yoda,7
Obi-Wan Kenobi,Ask Aak,1
Bail Organa,Ask Aak,1
Jango Fett,Ask Aak,1
Darth Vader,Ask Aak,1
Ask Aak,Count Dooku,1
Ask Aak,Mace Windu,1
Jango Fett,Palpatine,2
Bail Organa,Jango Fett,1
Darth Vader,Bail Organa,1
Jango Fett,Padme Amidala,5
Mas Amedda,Jango Fett,1
Darth Vader,Mas Amedda,3
Darth Vader,Jango Fett,1
Jar Jar Binks,Jango Fett,1
Jango Fett,Mace Windu,3
Darth Vader,Jar Jar Binks,1
Darth Vader,Count Dooku,1
Darth Vader,Mace Windu,2
R2-D2,Count Dooku,5
Count Dooku,C-3PO,4
Obi-Wan Kenobi,C-3PO,20
R2-D2,Cliegg Lars,1
R2-D2,Owen Lars,3
R2-D2,Beru Lars,3
R2-D2,Mace Windu,3
C-3PO,Mace Windu,3
Padme Amidala,Geonosian,6
Anakin Skywalker,Geonosian,6
Count Dooku,Geonosian,5
Jango Fett,Anakin Skywalker,4
Anakin Skywalker,Boba Fett,8
Boba Fett,Palpatine,2
Padme Amidala,Boba Fett,5
Padme Amidala,Wat Tambor,1
Sun Rit,Wat Tambor,1
Passel Argente,Wat Tambor,2
Shu Mai,Wat Tambor,4
Toonbuck Toora,Wat Tambor,1
Count Dooku,Wat Tambor,2
Geonosian,Wat Tambor,1
San Hill,Wat Tambor,1
Tessek,Wat Tambor,1
Poggle the Lesser,Wat Tambor,1
Nute Gunray,Wat Tambor,4
Anakin Skywalker,Wat Tambor,3
Padme Amidala,Sun Rit,2
Padme Amidala,Passel Argente,1
Padme Amidala,Shu Mai,1
Padme Amidala,Toonbuck Toora,1
Padme Amidala,San Hill,1
Padme Amidala,Tessek,1
Poggle the Lesser,Padme Amidala,2
Sun Rit,Passel Argente,1
Sun Rit,Shu Mai,1
Sun Rit,Toonbuck Toora,1
Sun Rit,Count Dooku,2
Sun Rit,Geonosian,2
Sun Rit,San Hill,1
Sun Rit,Tessek,1
Poggle the Lesser,Sun Rit,2
Nute Gunray,Sun Rit,2
Sun Rit,Anakin Skywalker,2
Shu Mai,Passel Argente,2
Toonbuck Toora,Passel Argente,1
Count Dooku,Passel Argente,2
Geonosian,Passel Argente,1
San Hill,Passel Argente,1
Tessek,Passel Argente,1
Poggle the Lesser,Passel Argente,1
Nute Gunray,Passel Argente,2
Anakin Skywalker,Passel Argente,1
Shu Mai,Toonbuck Toora,1
Count Dooku,Shu Mai,2
Geonosian,Shu Mai,1
San Hill,Shu Mai,1
Shu Mai,Tessek,1
Poggle the Lesser,Shu Mai,1
Nute Gunray,Shu Mai,4
Anakin Skywalker,Shu Mai,3
Count Dooku,Toonbuck Toora,1
Geonosian,Toonbuck Toora,1
San Hill,Toonbuck Toora,1
Tessek,Toonbuck Toora,1
Poggle the Lesser,Toonbuck Toora,1
Nute Gunray,Toonbuck Toora,1
Anakin Skywalker,Toonbuck Toora,1
Count Dooku,San Hill,1
Count Dooku,Tessek,1
Poggle the Lesser,Count Dooku,2
Geonosian,San Hill,1
Geonosian,Tessek,1
Poggle the Lesser,Geonosian,2
Nute Gunray,Geonosian,2
San Hill,Tessek,1
Poggle the Lesser,San Hill,1
Nute Gunray,San Hill,1
Anakin Skywalker,San Hill,1
Poggle the Lesser,Tessek,1
Nute Gunray,Tessek,1
Anakin Skywalker,Tessek,1
Poggle the Lesser,Nute Gunray,2
Poggle the Lesser,Anakin Skywalker,2
Obi-Wan Kenobi,Sun Rit,1
Obi-Wan Kenobi,Geonosian,4
Poggle the Lesser,Obi-Wan Kenobi,1
Jango Fett,Sun Rit,1
Jango Fett,Geonosian,3
Poggle the Lesser,Jango Fett,1
Nute Gunray,Jango Fett,1
Sun Rit,Boba Fett,1
Geonosian,Boba Fett,4
Poggle the Lesser,Boba Fett,1
Nute Gunray,Boba Fett,1
Battle Droid,Jango Fett,2
Battle Droid,Count Dooku,8
Battle Droid,Geonosian,3
Battle Droid,Boba Fett,3
Battle Droid,Mace Windu,4
Geonosian,Mace Windu,3
Boba Fett,Mace Windu,3
Battle Droid,Plo Koon,1
Battle Droid,Clone Troopers,12
Yoda,Clone Troopers,8
Yoda,Geonosian,1
Padme Amidala,Clone Troopers,2
Count Dooku,Clone Troopers,4
Clone Troopers,Geonosian,1
Clone Troopers,Anakin Skywalker,10
Clone Troopers,Mace Windu,2
Count Dooku,Rebel Pilot,1
Clone Troopers,Rebel Pilot,2
Republic Captain,Yoda,2
Republic Captain,Count Dooku,2
Republic Captain,Clone Troopers,3
Obi-Wan Kenobi,R4-D17,2
Anakin Skywalker,R4-D17,2
R2-D2,R4-D17,2
Wedge Antilles,Obi-Wan Kenobi,2
Wedge Antilles,Anakin Skywalker,2
Wedge Antilles,Odd Ball,1
Wedge Antilles,Red Leader,42
Obi-Wan Kenobi,Odd Ball,2
Obi-Wan Kenobi,Red Leader,2
Anakin Skywalker,Odd Ball,2
